epoch,train_loss,train_acc,val_loss,val_acc,lr,augment
1,0.1425,0.9611,0.0455,0.9870,0.001,False
2,0.0494,0.9851,0.0417,0.9885,0.001,False
3,0.0357,0.9890,0.0414,0.9870,0.001,False
4,0.0288,0.9913,0.0664,0.9805,0.001,False
5,0.0239,0.9926,0.0293,0.9912,0.001,False
6,0.0206,0.9936,0.0337,0.9907,0.001,False
7,0.0180,0.9942,0.0334,0.9892,0.001,False
8,0.0149,0.9954,0.0361,0.9895,0.001,False
9,0.0160,0.9949,0.0344,0.9903,0.001,False
10,0.0123,0.9959,0.0404,0.9892,0.001,False
10,0.0122,0.9959,0.0376,0.9892,0.001,False
