epoch,train_loss,train_acc,val_loss,val_acc,lr_model,lr_center,alpha
1,0.5319,0.8204,0.3436,0.8687,0.000994,0.5,0.0000
2,0.3350,0.8768,0.3015,0.8920,0.000976,0.5,0.0000
3,0.2958,0.8900,0.2811,0.8930,0.000946,0.5,0.0000
4,0.2719,0.8975,0.2933,0.8911,0.000905,0.5,0.0000
5,0.2544,0.9030,0.2660,0.9027,0.000855,0.5,0.0000
6,0.9499,0.9063,0.2648,0.8999,0.000796,0.5,0.0500
7,0.8413,0.9111,0.2633,0.9018,0.000730,0.5,0.0500
8,0.7975,0.9150,0.2674,0.8985,0.000658,0.5,0.0500
9,0.7684,0.9191,0.2465,0.9086,0.000582,0.5,0.0500
10,0.7681,0.9226,0.2507,0.9069,0.000505,0.5,0.0500
11,0.8065,0.9255,0.2487,0.9054,0.000428,0.5,0.0550
12,0.8357,0.9289,0.2450,0.9075,0.000352,0.5,0.0600
13,0.8844,0.9317,0.2455,0.9088,0.000280,0.5,0.0650
14,0.9075,0.9345,0.2491,0.9067,0.000214,0.5,0.0700
15,0.9807,0.9374,0.2473,0.9101,0.000155,0.5,0.0750
