epoch,train_loss,train_acc,val_loss,val_acc,lr,alpha,O0_dist,O0_acc,I1_dist,I1_acc
1,1.1608,0.8077,1.0182,0.8537,0.000994,0.0000,1.3600,0.6515,2.2607,0.7666
2,1.0122,0.8536,0.9759,0.8673,0.000976,0.0000,1.1539,0.6910,1.7850,0.7703
3,0.9802,0.8635,0.9711,0.8654,0.000946,0.0000,0.9647,0.6816,1.4617,0.7476
4,0.9625,0.8689,0.9497,0.8738,0.000905,0.0000,0.9218,0.6913,1.3758,0.7856
5,0.9498,0.8735,0.9494,0.8693,0.000855,0.0000,0.7320,0.6545,1.2425,0.7800
6,1.5636,0.8767,0.9359,0.8770,0.000796,0.0547,0.3504,0.6990,0.5141,0.7810
7,1.5602,0.8792,0.9350,0.8765,0.000730,0.0593,0.2566,0.7013,0.4452,0.7846
8,1.5899,0.8828,0.9293,0.8788,0.000658,0.0640,0.2285,0.6990,0.3843,0.7883
9,1.6367,0.8858,0.9283,0.8793,0.000582,0.0687,0.2539,0.7040,0.3642,0.7669
10,1.6663,0.8885,0.9202,0.8829,0.000505,0.0733,0.2365,0.7144,0.3400,0.7810
11,1.6944,0.8918,0.9209,0.8825,0.000428,0.0780,0.1988,0.7084,0.3247,0.7873
12,1.7329,0.8952,0.9205,0.8829,0.000352,0.0827,0.2101,0.7077,0.2985,0.7940
13,1.7657,0.8982,0.9151,0.8875,0.000280,0.0873,0.2078,0.7341,0.3125,0.7860
